anrede;name;vorname;plz;ort;strasse;hausnummer;telefon1;telefon2;email;geboren;geschlecht;leistung_uuid;vertrag_kontierung;vertrag_laufzeit_von;vertrag_laufzeit_bis;preis_uuid;bemerkung_uuid;uuid
Herr;Schulze;Gerd;93125;Dortmund;Wiesenweg;70;02664703306;;gerd.schulze706@email.de;301446000;<NULL>;c0e84721-9b66-48b8-bce9-14106159edbd;1722204000;1784152800;1828306800;23502629-4ee5-4398-8a32-f0da902fc885;<NULL>;76720636-0174-4443-a240-e240c5c9ca63
Frau;Schmidt;Hans;54306;Dortmund;Kirchenweg;37;08951269546;06143689586;hans.schmidt54@email.de;916095600;<NULL>;813e995d-b634-4e88-acec-7d0ac979157e;1712872800;1760047200;1842732000;18ed788d-95ec-4208-9021-0d3e5605452f;<NULL>;b3dc4842-20e5-4280-8551-f091e652a537
Herr;Müller;Gerd;62763;Wuppertal;Am Park;17;0433107179;08335725271;gerd.müller962@email.de;661993200;<NULL>;86cdfbd0-f0b8-4a14-b783-e0a6dcff18c4;1764370800;1792969200;1810764000;182c3dc4-a12b-44ec-98be-cce4da5324e0;<NULL>;f3ff55e3-e710-477c-894f-7f793f4447ed
Herr;Schmidt;Monika;40659;Stuttgart;Schulweg;45;05039190318;;monika.schmidt20@email.de;200617200;<NULL>;d434b4c8-d99e-4512-8211-a118d0b22565;1736031600;1744581600;1792792800;f4f55d09-adeb-4674-827a-71eb5ac0ff4c;<NULL>;169d8e64-365b-4852-9089-e41e9973dceb
Herr;Weber;Peter;74200;München;Bergstr.;80;03494436941;;peter.weber43@email.de;532998000;maennlich;b34f6157-4f8f-416a-af01-414845e1ac53;1734390000;1781733600;1810418400;ed5d1b6b-e046-4c44-86d3-8cef7e792df6;eabc4d02-270b-4423-83a3-01a8e7f72443;65b3c4b1-8b45-484e-b500-2057ae859e08
<NULL>;Fischer;Gerd;34141;Hannover;Schulweg;85;03088280719;04476130177;gerd.fischer116@email.de;924904800;maennlich;f63b3dda-1e0d-4ec7-b701-af6f896fa5f0;1785276000;1737846000;1825455600;9f63afc6-21ad-44b0-aaaf-82f67985c24d;<NULL>;37f679dd-fd71-4528-b25a-c3f329e1a916
<NULL>;Müller;Diana;43274;Essen;Schulweg;133;07691372560;07269710109;diana.müller739@email.de;396482400;<NULL>;a67cbfa9-b4ee-414f-8176-f581d5c12728;1706396400;1743631200;1778191200;864a353f-3800-4bf0-a9ba-2af16cde7bfa;<NULL>;c6576d27-104e-4acd-bec3-a29b23a2d10f
<NULL>;Werner;Hans;86253;Bielefeld;Bergstr.;144;03706907845;;hans.werner583@email.de;1060812000;weiblich;8b82bc0f-c120-4d65-bae5-de543b1ff6a3;1707778800;1776808800;1849125600;a92a2460-fa0d-4f08-bff6-c3850fe18db4;<NULL>;c1fae8e0-87a8-44f0-9bff-fd8c1fcde27e
Herr;Hoffmann;Susanne;70491;Wuppertal;Mühlenweg;119;07580983162;0201910888;susanne.hoffmann242@email.de;281746800;weiblich;64aca9f5-5e16-47f9-ab54-c41b36751ee6;1775599200;1741474800;1842213600;9f63afc6-21ad-44b0-aaaf-82f67985c24d;182ccc67-ba75-41ce-9dfb-b6560b0580e5;0bdab11f-3017-4628-b48a-6cbef5c96bcf
<NULL>;Hofmann;Max;11946;Dresden;Kirchenweg;28;04300885306;05689280663;max.hofmann738@email.de;557100000;maennlich;3602913f-e221-4550-a120-1f6f665709e1;1774566000;1716328800;1849039200;1570449f-e4dd-4157-bca1-3ee9b739a64c;3701e711-aac0-48c6-96a9-e50384d5a1fa;65308079-6d3b-4996-9153-cb5a1403ba13
Herr;Koch;Kerstin;30205;Essen;Bahnhofstr.;77;08198212416;06559273653;kerstin.koch111@email.de;1139612400;maennlich;83a09039-a6d0-4bf0-94c3-ff782b24b4cb;1742511600;1713823200;1834354800;492b7233-8f5a-41c3-94af-e9a837328b31;b564529a-1dd5-4b0b-af7c-af41669af565;eab92223-2df4-4c20-abc4-2be4166ac0f6
Herr;Schulze;Gerd;91784;Essen;Bergstr.;97;06980530442;07189279709;gerd.schulze764@email.de;7167600;maennlich;8b323dbe-2f5f-4d84-8be5-9fa30986a4e1;1738105200;1768604400;1811628000;1e48293a-3dc3-43aa-9963-0a97d4969bea;25232cea-6741-4527-8ab5-c807605d2747;ee5a4499-d5d5-40a0-9dbc-8ab433bb5cb3
Herr;Wolf;Ute;42714;Duisburg;Bergstr.;37;03707218618;04740135763;ute.wolf195@email.de;456616800;weiblich;37fabfb5-3002-471a-aef7-cf20b92c344e;1749160800;1767049200;1814047200;6218f3c2-c47c-400d-9dc3-b6f977300028;<NULL>;7bb399ef-2524-4da3-b4e4-e1a117e3b6ac
Frau;Meier;Thomas;71489;Bonn;Bergstr.;81;08769244807;0206531506;thomas.meier778@email.de;59785200;maennlich;a10fdc17-832c-4be6-876f-e04dc4e7c003;1776290400;1757455200;1796511600;77728078-84f7-42ea-a2b7-d271f6af7292;53656ca9-7d48-4729-b6c7-cdf9eeab75dc;a8516f77-a004-4f4e-805b-860eff897f5c
<NULL>;Schneider;Hans;59597;Essen;Mühlenweg;98;02330783689;;hans.schneider365@email.de;-234147600;weiblich;83a09039-a6d0-4bf0-94c3-ff782b24b4cb;1774479600;1713045600;1775599200;23502629-4ee5-4398-8a32-f0da902fc885;233ad079-5017-482e-8b1b-7412024e2e90;fe3c6d1b-1255-4e4a-b56b-c6a28c58f68d
<NULL>;Hartmann;Brigitte;30521;Münster;Hauptstr.;104;06812459381;;brigitte.hartmann432@email.de;-105670800;weiblich;069fdac3-e99c-4714-ae3c-6bd3ef74d5c1;1796252400;1770073200;1850162400;c3fbc708-46ac-43dd-bdb7-9b1426c62138;<NULL>;901decc9-49c0-47c4-8840-1f1ddd6f464a
<NULL>;Schmitt;Frank;68001;Köln;Am Park;11;0434144301;;frank.schmitt413@email.de;-65235600;<NULL>;d4f3c9c2-0e13-426d-a4b1-b29ae14abb88;1747260000;1730502000;1783548000;ed5d1b6b-e046-4c44-86d3-8cef7e792df6;7c2f0741-31e0-475e-b2db-4fbc6164bcac;ecbccf77-bb7e-4d96-aa21-fadf4a68e45e
Herr;Wolf;Andreas;33906;Frankfurt;Hauptstr.;121;04044509306;07997540098;andreas.wolf920@email.de;42505200;weiblich;960f86d1-acee-4a08-90ee-2356e01379cf;1796166000;1742770800;1807135200;743ca42c-67c4-4178-98bc-765194f31de0;<NULL>;65a8d132-709b-483b-a644-bbaa5c774709
Frau;Fischer;Bernd;56088;Düsseldorf;Hauptstr.;77;05935996062;;bernd.fischer6@email.de;-259981200;weiblich;37fabfb5-3002-471a-aef7-cf20b92c344e;1768086000;1719180000;1836946800;8dddf2c9-fcaa-4d83-8e9e-1475f5013627;5c9b749c-3e7e-4a4d-9489-af2ad05b20d7;b8f3cc4e-5c9f-4667-a9f3-f00f0d82413e
Frau;Weber;Gerd;36293;Münster;Kirchenweg;114;02692247295;;gerd.weber931@email.de;-349200;weiblich;95d492d3-cece-4c2f-802c-d344ef8750b3;1748728800;1770159600;1769122800;0cfb9dd2-f7db-45c0-ae39-f23b0f6aee41;<NULL>;9e8e53f8-b4b9-4b01-a8e7-9a458e774b3b
<NULL>;Bauer;Sabine;98373;Bielefeld;Wiesenweg;16;09017102256;06363821512;sabine.bauer298@email.de;1093730400;<NULL>;fd8528f9-7b01-4fb8-9cfa-4f68938b5480;1773529200;1709247600;1783893600;31a42184-9901-4068-888b-9f28ababaf95;<NULL>;90a15ec4-13da-4fba-b27a-04528ca8e2f8
<NULL>;Schmitt;Volker;88787;Berlin;Bahnhofstr.;3;0827250415;;volker.schmitt65@email.de;34210800;maennlich;ee8c9920-6e6f-46ef-8e56-55fa418a50cf;1735858800;1732748400;1801436400;00c01a07-8447-404a-b16a-f78fa56f39f0;<NULL>;43ee752a-13fc-4ab7-9773-c75408d49817
<NULL>;Schmitt;Brigitte;88463;Berlin;Bergstr.;146;08436757225;;brigitte.schmitt136@email.de;350089200;<NULL>;fd8528f9-7b01-4fb8-9cfa-4f68938b5480;1742338800;1779141600;1812578400;36ee43ab-962e-4801-92c0-ce42dbba43e2;<NULL>;fad7e55d-315a-4f4b-ab37-e14e28ccbd49
<NULL>;Krüger;Heike;13603;Berlin;Bergstr.;3;03305463371;;heike.krüger428@email.de;872632800;weiblich;e2f1c83f-56f7-4cb4-aac7-0d675c1c34ae;1725228000;1722981600;1802386800;84a1ce77-c6c2-4a3b-8e0e-4eff48f6f1b0;<NULL>;d39d845f-6774-452e-a470-f6d2e2ed54bb
